<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170117,143000,165.3000000,165.3100000,164.5400000,164.6700000,749840
20170117,144500,164.6700000,165.4200000,164.6200000,165.1000000,789800
20170117,150000,165.1000000,165.1200000,164.5100000,164.7800000,531510
20170117,151500,164.7900000,165.3900000,164.7600000,165.2500000,426640
20170117,153000,165.2700000,165.5500000,165.0000000,165.3700000,899320
20170117,154500,165.4200000,165.6900000,165.3500000,165.5900000,786230
20170117,160000,165.5300000,165.6000000,165.2800000,165.2800000,338700
20170117,161500,165.3500000,165.4100000,165.0300000,165.0900000,560470
20170117,163000,165.0900000,165.4000000,164.8800000,165.0500000,1184930
20170117,164500,165.0600000,165.3400000,165.0400000,165.2800000,317090
20170117,170000,165.2000000,165.4500000,165.0000000,165.3900000,530960
20170117,171500,165.3900000,165.6000000,165.2900000,165.4400000,793550
20170117,173000,165.4500000,165.5500000,165.0000000,165.0700000,1066020
20170117,174500,165.0900000,165.1800000,165.0000000,165.0500000,791660
20170117,180000,165.0500000,166.0500000,165.0200000,166.0200000,2426170
20170117,181500,166.0200000,166.4700000,165.5000000,165.5000000,3890840
20170117,183000,165.4800000,165.9700000,165.2500000,165.9500000,1422400
20170117,184500,165.9800000,165.9800000,165.9800000,165.9800000,665400
20170118,100000,165.8100000,166.4600000,165.7200000,166.0700000,1348910
20170118,101500,166.1600000,166.7600000,165.9300000,166.4200000,2013320
20170118,103000,166.4200000,166.9500000,166.2100000,166.7900000,1576940
20170118,104500,166.7900000,167.1500000,166.6400000,166.8100000,1285290
